"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 18:51:53 GMT 2024","Thu Nov 14 18:51:53 GMT 2024","3","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.CreateBook","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.CreateBook",""
"passed","Thu Nov 14 18:51:54 GMT 2024","Thu Nov 14 18:51:54 GMT 2024","22","","Collection Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests.DeleteGetCollection","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests.DeleteGetCollection",""
"passed","Thu Nov 14 18:51:54 GMT 2024","Thu Nov 14 18:51:54 GMT 2024","5","","Order Service Unit Test","","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.GetAllOrders","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.GetAllOrders",""
"passed","Thu Nov 14 18:51:53 GMT 2024","Thu Nov 14 18:51:53 GMT 2024","58","","Review Service Unit Test","","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.CreateReview","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.CreateReview",""
"skipped","Thu Nov 14 18:51:55 GMT 2024","Thu Nov 14 18:51:55 GMT 2024","0","","Books Service Integ Test","","LibraryApp.Tests.Integration.Tests.BooksIntegTests","LibraryApp.Tests.Integration.Tests.BooksIntegTests.TestAdd","LibraryApp.Tests.Integration.Tests.BooksIntegTests.TestAdd",""
"skipped","Thu Nov 14 18:51:55 GMT 2024","Thu Nov 14 18:51:55 GMT 2024","1","","Reviews Service Integ Test","","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests.GetReview","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests.GetReview",""
"passed","Thu Nov 14 18:51:54 GMT 2024","Thu Nov 14 18:51:54 GMT 2024","25","","Author Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests.PostGetAuthor","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests.PostGetAuthor",""
"passed","Thu Nov 14 18:51:53 GMT 2024","Thu Nov 14 18:51:53 GMT 2024","2","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.UpdateAuthor","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.UpdateAuthor",""
"skipped","Thu Nov 14 18:51:55 GMT 2024","Thu Nov 14 18:51:55 GMT 2024","1","","Books Service Integ Test","","LibraryApp.Tests.Integration.Tests.BooksIntegTests","LibraryApp.Tests.Integration.Tests.BooksIntegTests.GetBooks","LibraryApp.Tests.Integration.Tests.BooksIntegTests.GetBooks",""
"skipped","Thu Nov 14 18:51:55 GMT 2024","Thu Nov 14 18:51:55 GMT 2024","1","","E2E Test","","LibraryApp.Tests.E2E.E2ETests","LibraryApp.Tests.E2E.E2ETests.addBookIntoCollection","LibraryApp.Tests.E2E.E2ETests.addBookIntoCollection",""
