"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 16 09:43:14 GMT 2024","Sat Nov 16 09:43:14 GMT 2024","4","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBook","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBook",""
"skipped","Sat Nov 16 09:43:16 GMT 2024","Sat Nov 16 09:43:16 GMT 2024","0","","Author Service Integ Test","","LibraryApp.Tests.Integration.Tests.AuthorsIntegTests","LibraryApp.Tests.Integration.Tests.AuthorsIntegTests.GetAuthors","LibraryApp.Tests.Integration.Tests.AuthorsIntegTests.GetAuthors",""
"passed","Sat Nov 16 09:43:14 GMT 2024","Sat Nov 16 09:43:14 GMT 2024","38","","Order Service Unit Test","","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.DeleteOrder","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.DeleteOrder",""
"failed","Sat Nov 16 09:43:14 GMT 2024","Sat Nov 16 09:43:14 GMT 2024","36","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetAuthors","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetAuthors",""
"passed","Sat Nov 16 09:43:14 GMT 2024","Sat Nov 16 09:43:14 GMT 2024","62","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetAuthor","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetAuthor",""
"passed","Sat Nov 16 09:43:14 GMT 2024","Sat Nov 16 09:43:14 GMT 2024","3","","Review Service Unit Test","","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.UpdateReview","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.UpdateReview",""
"passed","Sat Nov 16 09:43:14 GMT 2024","Sat Nov 16 09:43:14 GMT 2024","2","","Collection Service Unit Test","","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.UpdateCollection","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.UpdateCollection",""
"passed","Sat Nov 16 09:43:15 GMT 2024","Sat Nov 16 09:43:15 GMT 2024","4","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.UpdateNews","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.UpdateNews",""
"passed","Sat Nov 16 09:43:15 GMT 2024","Sat Nov 16 09:43:15 GMT 2024","7","","Author Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests.DeleteGetAuthor","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests.DeleteGetAuthor",""
"skipped","Sat Nov 16 09:43:16 GMT 2024","Sat Nov 16 09:43:16 GMT 2024","0","","News Service Integ Test","","LibraryApp.Tests.Integration.Tests.NewsIntegTests","LibraryApp.Tests.Integration.Tests.NewsIntegTests.TestAdd","LibraryApp.Tests.Integration.Tests.NewsIntegTests.TestAdd",""
