"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","4","","News Service Integ Test","","LibraryApp.Tests.Integration.Tests.NewsIntegTests","LibraryApp.Tests.Integration.Tests.NewsIntegTests.TestAdd","LibraryApp.Tests.Integration.Tests.NewsIntegTests.TestAdd",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","20","","Author Service Integ Test","","LibraryApp.Tests.Integration.Tests.AuthorsIntegTests","LibraryApp.Tests.Integration.Tests.AuthorsIntegTests.GetAuthors","LibraryApp.Tests.Integration.Tests.AuthorsIntegTests.GetAuthors",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","Review Service Unit Test","","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.GetAllReviews","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.GetAllReviews",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","Author Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests.PostGetAuthor","LibraryApp.Tests.UnitTests.DataAccess.AuthorRepositoryUnitTests.PostGetAuthor",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","8","","Books Service Integ Test","","LibraryApp.Tests.Integration.Tests.BooksIntegTests","LibraryApp.Tests.Integration.Tests.BooksIntegTests.TestAdd","LibraryApp.Tests.Integration.Tests.BooksIntegTests.TestAdd",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","2","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.AddIntoCollection","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.AddIntoCollection",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","7","","Review Service Unit Test","","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.CreateReview","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.CreateReview",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","5","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetAuthors","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.GetAuthors",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","3","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.DeleteAuthor","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.DeleteAuthor",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","16","","News Service Integ Test","","LibraryApp.Tests.Integration.Tests.NewsIntegTests","LibraryApp.Tests.Integration.Tests.NewsIntegTests.GetNews","LibraryApp.Tests.Integration.Tests.NewsIntegTests.GetNews",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","22","","Collections Service Integ Test","","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests.GetCollections","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests.GetCollections",""
