"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","3","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.UpdateNews","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.UpdateNews",""
"passed","Sat Nov 16 11:07:39 GMT 2024","Sat Nov 16 11:07:39 GMT 2024","17","","News Service Integ Test","","LibraryApp.Tests.Integration.Tests.NewsIntegTests","LibraryApp.Tests.Integration.Tests.NewsIntegTests.GetNews","LibraryApp.Tests.Integration.Tests.NewsIntegTests.GetNews",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","2","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.DeleteNews","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.DeleteNews",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","3","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.AddOwnership","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.AddOwnership",""
"passed","Sat Nov 16 11:07:38 GMT 2024","Sat Nov 16 11:07:38 GMT 2024","6","","Review Service Unit Test","","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.CreateReview","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.CreateReview",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","39","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBooks","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBooks",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","3","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.GetNewsById","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.GetNewsById",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","8","","Collection Service Unit Test","","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetCollections","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetCollections",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","3","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBook","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBook",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:37 GMT 2024","4","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.UpdateAuthor","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.UpdateAuthor",""
"passed","Sat Nov 16 11:07:37 GMT 2024","Sat Nov 16 11:07:38 GMT 2024","467","","Review Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.ReviewRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.ReviewRepositoryUnitTests.DeleteGetReview","LibraryApp.Tests.UnitTests.DataAccess.ReviewRepositoryUnitTests.DeleteGetReview",""
"passed","Sat Nov 16 11:07:39 GMT 2024","Sat Nov 16 11:07:39 GMT 2024","22","","Collections Service Integ Test","","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests.GetCollections","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests.GetCollections",""
